rep,nl_pct,mfcc_pct,covarep_pct
0,29.04451154883041,40.85959505350915,30.095893397660443
1,27.069222694474746,43.884875758937845,29.04590154658741
2,29.51829938500163,37.05305602957939,33.42864458541897
3,24.300258305337326,38.02587568629482,37.67386600836785
4,25.555378578324326,39.345776265084105,35.098845156591565
5,24.717282431587936,40.09641956240454,35.18629800600752
6,28.45436643429188,42.23329772121475,29.31233584449338
7,28.6995146181801,37.23301274059355,34.06747264122637
8,23.17164783854469,42.52479808433937,34.30355407711594
9,27.2456039728324,44.617270410309985,28.13712561685761
10,25.977915040388872,33.612164575241366,40.40992038436976
11,23.93564530240084,38.491334806814024,37.57301989078514
12,24.673067420880773,48.53394728280877,26.792985296310462
13,23.413918397181178,37.429234525558826,39.15684707725999
14,26.98145664120827,37.12332872769266,35.895214631099066
15,25.759428210972136,43.07475583131394,31.16581595771391
16,28.9154988516061,41.265330566564785,29.819170581829123
17,25.48930048428383,41.00414652993366,33.506552985782506
18,25.345481083398962,43.20935283473952,31.445166081861515
19,22.132640171969907,43.80781290204723,34.059546925982865
20,24.87489594460755,34.942338154641796,40.18276590075065
21,23.581941536637533,42.131167541360284,34.28689092200219
22,26.75795921780063,43.36900834345817,29.87303243874121
23,23.056992772370332,41.10559459806561,35.83741262956407
24,26.965327204668554,36.852401849706595,36.18227094562487
25,29.697943346234105,48.073305338119916,22.228751315645987
26,24.234153475424865,40.11094880220031,35.65489772237482
27,29.84048799402216,36.197250422759744,33.962261583218094
28,23.858849653812072,42.00276858161949,34.138381764568436
29,24.784686036353712,37.72480587626738,37.4905080873789
30,23.561541295317987,40.013203272772586,36.42525543190942
31,25.202377290655445,38.76471612064552,36.03290658869903
32,21.23313358010268,43.68625086310449,35.080615556792836
33,30.693074736050395,45.289404319459116,24.017520944490478
34,28.235775184220014,37.416451166671074,34.347773649108916
35,26.608596282089472,38.71680744192089,34.67459627598964
36,24.712557788775662,41.45816032749459,33.82928188372974
37,27.401177972815344,43.06869953222516,29.530122494959496
38,30.256175687875498,37.65333189860811,32.090492413516394
39,29.014886668575837,44.598449410513545,26.386663920910614
40,24.470785302559655,48.21256348940019,27.31665120804016
41,23.75204140951859,36.769769273406176,39.478189317075234
42,27.8869257418866,39.32710794483193,32.78596631328146
43,25.069424697752385,45.99939088884432,28.931184413403287
44,31.207009632499144,37.521016478886345,31.27197388861451
45,26.421598316556583,38.39331447998514,35.18508720345828
46,26.3678380484089,37.38630243861117,36.245859512979926
47,20.936873000990527,35.20496033714285,43.85816666186662
48,33.600778648503244,45.9029790639439,20.496242287552857
49,26.41796461058695,40.217731130911936,33.364304258501114
50,25.927642808586956,33.370846450849584,40.70151074056348
51,30.217177133579618,37.651218118477026,32.13160474794336
52,26.979579955303592,38.19497920907817,34.82544083561823
53,27.34039863545361,38.78201221921061,33.8775891453358
54,24.761046517698578,44.60562633311577,30.633327149185657
55,27.72155263571843,43.261552513601536,29.01689485068004
56,24.5278961304183,42.39765276549128,33.07445110409043
57,26.017172367074462,40.10901027351124,33.87381735941429
58,28.040883774258948,34.771967795838876,37.18714842990217
59,29.9917219209137,42.64443053469032,27.363847544395973
60,30.097017453337976,45.77346047463409,24.12952207202792
61,28.179019336596905,37.75683885842762,34.06414180497547
62,22.87668389945118,44.59755956326842,32.525756537280415
63,29.434347729717892,39.06291188248221,31.502740387799907
64,34.52002136406414,42.434182848368046,23.045795787567815
65,28.319999232411934,37.35205999950335,34.3279407680847
66,25.44977554233408,42.099638594504654,32.45058586316126
67,27.180578003675905,45.73688108105038,27.082540915273718
68,26.058307821373987,43.29224048754117,30.649451691084852
69,27.66312998599114,44.79801140289081,27.53885861111805
70,21.19496098359804,42.55820223387771,36.24683678252425
71,25.133316971631135,36.59459263368047,38.27209039468839
72,28.171863524262406,32.57320162269336,39.254934853044226
73,23.70022942909615,39.73955647807997,36.56021409282388
74,31.088194058311668,38.86793525324105,30.043870688447285
75,26.490057191880318,38.58873452855339,34.921208279566294
76,28.337766137393096,45.37453862197892,26.28769524062799
