nl,mfcc,cov
29.04451154883041,40.85959505350915,30.095893397660443
27.069222694474746,43.884875758937845,29.04590154658741
29.51829938500163,37.05305602957939,33.42864458541897
24.300258305337326,38.02587568629482,37.67386600836785
25.555378578324326,39.345776265084105,35.098845156591565
24.717282431587936,40.09641956240454,35.18629800600752
28.45436643429188,42.23329772121475,29.31233584449338
28.6995146181801,37.23301274059355,34.06747264122637
23.17164783854469,42.52479808433937,34.30355407711594
27.2456039728324,44.617270410309985,28.13712561685761
25.977915040388872,33.612164575241366,40.40992038436976
23.93564530240084,38.491334806814024,37.57301989078514
24.673067420880773,48.53394728280877,26.792985296310462
23.413918397181178,37.429234525558826,39.15684707725999
26.98145664120827,37.12332872769266,35.895214631099066
25.759428210972136,43.07475583131394,31.16581595771391
28.9154988516061,41.265330566564785,29.819170581829123
25.48930048428383,41.00414652993366,33.506552985782506
25.345481083398962,43.20935283473952,31.445166081861515
22.132640171969907,43.80781290204723,34.059546925982865
24.87489594460755,34.942338154641796,40.18276590075065
23.581941536637533,42.131167541360284,34.28689092200219
26.75795921780063,43.36900834345817,29.87303243874121
23.056992772370332,41.10559459806561,35.83741262956407
26.965327204668554,36.852401849706595,36.18227094562487
29.697943346234105,48.073305338119916,22.228751315645987
24.234153475424865,40.11094880220031,35.65489772237482
29.84048799402216,36.197250422759744,33.962261583218094
23.858849653812072,42.00276858161949,34.138381764568436
24.784686036353712,37.72480587626738,37.4905080873789
23.561541295317987,40.013203272772586,36.42525543190942
25.202377290655445,38.76471612064552,36.03290658869903
21.23313358010268,43.68625086310449,35.080615556792836
30.693074736050395,45.289404319459116,24.017520944490478
28.235775184220014,37.416451166671074,34.347773649108916
26.608596282089472,38.71680744192089,34.67459627598964
24.712557788775662,41.45816032749459,33.82928188372974
27.401177972815344,43.06869953222516,29.530122494959496
30.256175687875498,37.65333189860811,32.090492413516394
29.014886668575837,44.598449410513545,26.386663920910614
24.470785302559655,48.21256348940019,27.31665120804016
23.75204140951859,36.769769273406176,39.478189317075234
27.8869257418866,39.32710794483193,32.78596631328146
25.069424697752385,45.99939088884432,28.931184413403287
31.207009632499144,37.521016478886345,31.27197388861451
26.421598316556583,38.39331447998514,35.18508720345828
26.3678380484089,37.38630243861117,36.245859512979926
20.936873000990527,35.20496033714285,43.85816666186662
33.600778648503244,45.9029790639439,20.496242287552857
26.41796461058695,40.217731130911936,33.364304258501114
25.927642808586956,33.370846450849584,40.70151074056348
30.217177133579618,37.651218118477026,32.13160474794336
26.979579955303592,38.19497920907817,34.82544083561823
27.34039863545361,38.78201221921061,33.8775891453358
24.761046517698578,44.60562633311577,30.633327149185657
27.72155263571843,43.261552513601536,29.01689485068004
24.5278961304183,42.39765276549128,33.07445110409043
26.017172367074462,40.10901027351124,33.87381735941429
28.040883774258948,34.771967795838876,37.18714842990217
29.9917219209137,42.64443053469032,27.363847544395973
30.097017453337976,45.77346047463409,24.12952207202792
28.179019336596905,37.75683885842762,34.06414180497547
22.87668389945118,44.59755956326842,32.525756537280415
29.434347729717892,39.06291188248221,31.502740387799907
34.52002136406414,42.434182848368046,23.045795787567815
28.319999232411934,37.35205999950335,34.3279407680847
25.44977554233408,42.099638594504654,32.45058586316126
27.180578003675905,45.73688108105038,27.082540915273718
26.058307821373987,43.29224048754117,30.649451691084852
27.66312998599114,44.79801140289081,27.53885861111805
21.19496098359804,42.55820223387771,36.24683678252425
25.133316971631135,36.59459263368047,38.27209039468839
28.171863524262406,32.57320162269336,39.254934853044226
23.70022942909615,39.73955647807997,36.56021409282388
31.088194058311668,38.86793525324105,30.043870688447285
26.490057191880318,38.58873452855339,34.921208279566294
28.337766137393096,45.37453862197892,26.28769524062799
22.390290780181722,40.44865771049287,37.16105150932541
23.3131765702228,44.337928471568354,32.34889495820884
26.191775195210745,38.10503493066254,35.703189874126714
26.601000051256804,40.28294372653612,33.11605622220707
26.751451416756247,33.119465650137194,40.12908293310656
26.914117929267135,38.8209066072354,34.264975463497485
28.411638459817897,41.350212789176005,30.238148751006083
25.60257024529702,40.55832262996615,33.839107124736834
25.123853183898728,45.523984530144745,29.352162285956528
23.274526174895705,43.4521380080112,33.2733358170931
25.513217278256427,45.90861991629959,28.578162805443984
24.923195452942885,41.452992768415506,33.62381177864161
23.436149978676276,42.08340780701901,34.48044221430473
28.330609465681018,39.99272971870609,31.676660815612873
24.151399611235412,41.25721655826606,34.591383830498536
30.12607300280417,44.96033760693673,24.9135893902591
26.160808785632273,45.13838822598053,28.700802988387196
27.491957247147656,36.966208135991735,35.54183461686061
25.46320769189847,48.81404072825154,25.72275157984998
24.958380288623943,41.16749011019719,33.87412960117888
25.45666365626983,39.17393942896965,35.369396914760515
24.127049645177912,43.13395474279125,32.73899561203083
23.78432186406308,43.521226537107005,32.69445159882992
24.393135583545376,53.18914427734634,22.417720139108283
24.49875646343901,43.22467259857792,32.276570937983074
28.854958071586097,42.57511241761453,28.56992951079938
30.0526776252214,38.60225691248879,31.345065462289817
24.018178820576598,40.535369666941094,35.44645151248232
29.7535411019665,48.617887199195664,21.628571698837845
27.795930493578457,50.08364985439871,22.120419652022846
24.91833166186178,44.66680183749643,30.41486650064178
30.326937065675526,49.2299841300433,20.44307880428117
28.00174233764166,37.13563117315948,34.862626489198846
25.76790641754708,42.542458865519606,31.68963471693331
26.797869883335277,52.72949863682797,20.472631479836753
25.144813728754556,42.32413260310479,32.53105366814066
28.192201715812036,45.38318007087137,26.424618213316585
30.007245571092746,50.894101055890616,19.098653373016635
26.535885973337862,35.77602953298239,37.688084493679746
24.76734843004489,46.05420176055885,29.178449809396255
29.43663964034223,45.13907997512196,25.42428038453582
24.906754962015107,41.72254285267318,33.37070218531173
32.022803842473884,48.11383339380578,19.863362763720332
27.206058566891723,39.74330498118612,33.05063645192215
27.163592542274063,44.82773003312225,28.008677424603686
30.70171430216132,41.286494539555825,28.01179115828284
23.221852907893123,38.32424223830428,38.453904853802584
26.994171544600867,40.55405822053783,32.45177023486131
30.80521549207549,36.84150343592649,32.35328107199801
23.34547035579233,39.33582410908429,37.318705535123385
24.48362883102849,43.27955374227226,32.23681742669926
24.203299377491128,37.29073671967399,38.50596390283487
30.162390593800154,35.64094305025983,34.19666635594003
33.934251626387876,46.94299038032983,19.122757993282303
27.13868411901502,34.487516004279335,38.37379987670566
24.171150033158604,43.50407678978965,32.32477317705173
31.950002383677752,43.02231683423781,25.02768078208442
26.098781151775917,34.50840676741732,39.39281208080677
25.883362824324053,34.33512149269747,39.78151568297847
21.800849086515914,38.14364843978729,40.055502473696784
28.75438770065909,44.794209805318225,26.451402494022684
26.549469136998372,36.848490528693155,36.60204033430847
25.640155195225702,40.00029421561109,34.35955058916322
27.33307088583445,42.47335248642358,30.193576627741965
26.16635164007505,42.09549454073666,31.738153819188298
26.15021184081318,37.77307259098864,36.07671556819819
26.38575069978082,40.48330313345552,33.13094616676366
24.98197699895116,44.58584627576023,30.432176725288617
24.277742775674817,50.07899352347847,25.643263700846717
28.934679722871312,46.504795644846126,24.560524632282572
23.648814651052923,37.10414732514485,39.24703802380222
25.44049223952434,37.90704782191463,36.65245993856104
28.22544840878525,38.22178236741035,33.5527692238044
28.566378574455307,39.97483605611104,31.458785369433667
26.801943453721083,42.84432707682822,30.353729469450695
25.348827901249695,37.679095933659234,36.97207616509108
26.586662099121945,47.92960208426491,25.483735816613144
24.19017325276056,38.974933317079284,36.83489343016015
25.85062378751931,36.170914794597316,37.97846141788337
28.72487526094228,38.81573585506781,32.459388883989924
22.85505993239046,44.413869793283396,32.73107027432615
27.457099519228365,42.47836282261328,30.064537658158358
28.104211159721313,40.933918753887845,30.961870086390842
28.62144537921429,43.53405824847198,27.844496372313735
28.275163216821745,37.87614020228274,33.84869658089553
22.974676302377933,40.04316342210985,36.98216027551223
27.588398857706927,40.22549849582572,32.186102646467354
22.832135347045526,43.66410750946091,33.503757143493566
26.263081648439055,36.58650511772889,37.15041323383204
25.592345202444374,36.800309383704075,37.60734541385154
27.40605924121013,39.11837810231675,33.47556265647312
24.99128636840783,37.20875646757201,37.799957164020164
27.381230928189314,42.17226994951129,30.4464991222994
27.261216518559486,37.13775621919648,35.601027262244024
24.82769397541265,44.43085771755168,30.741448307035668
27.543044541284743,41.56661506211988,30.890340396595384
28.179409701828188,36.620013470947924,35.20057682722389
27.77743676078163,42.03246111528972,30.190102123928643
28.357855377286892,36.81349452863226,34.82865009408085
23.095759095089864,37.475260731302185,39.428980173607954
23.23961146584997,40.10740911886218,36.65297941528786
22.99101935185723,45.307383481108026,31.701597167034745
24.897237493855446,40.58320628020205,34.519556225942516
25.448712830226878,42.595786147408745,31.955501022364377
26.24474939432551,36.229204811039594,37.52604579463489
27.52503852213594,44.942488957023414,27.532472520840635
29.407128749274843,40.08874361211516,30.504127638609994
24.166123526999787,45.37470382202665,30.459172650973567
24.066707850484132,41.06426638188368,34.8690257676322
27.476118505262388,41.55041533435404,30.97346616038357
26.17425421678598,46.731855507443726,27.09389027577029
26.013736121500443,31.860589217988476,42.12567466051109
26.54521992659866,38.73326701065528,34.721513062746055
29.87307453036538,37.872934465512465,32.25399100412216
23.454580499519093,36.90268648305183,39.64273301742908
33.497578217220465,43.25350257096743,23.248919211812108
26.568577192407435,40.219305627323216,33.21211718026936
22.268584502931205,38.87831148099824,38.85310401607055
24.827098081501006,41.95839590094781,33.21450601755117
22.230476654259707,44.98388903732503,32.78563430841527
26.798145733891065,34.83817746481362,38.36367680129531
27.515013848953853,34.28920098193476,38.19578516911139
30.04457361732846,40.63606648352656,29.319359899144985
